Year for CO2,CO2 (ppmv),CO2 Source,Temperature_Year,Temperature_anomaly,N2O Year,N2O (ppb),date,Average (C),Season,Weather_station_source,year,Statistic Label,Median montly series,Moving Average,Meteorological Weather Station
-622740.0,237.3,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-621264.0,238.6,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-619810.0,243.0,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-618388.0,245.4,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-617005.0,247.9,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-615594.0,252.3,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-614277.0,252.4,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-612973.0,252.5,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-611759.0,256.0,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-610564.0,258.0,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-609369.0,259.6,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-608186.0,257.7,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-606979.0,259.2,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-605758.0,254.6,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-604424.0,248.5,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-603126.0,244.5,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-601723.0,239.1,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-600328.0,237.9,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-598932.0,232.5,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-597484.0,229.4,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-596883.0,226.0,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-596016.0,219.0,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-595493.0,216.3,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
-594565.0,216.4,Dome C (Siegenthaler et al. 2005 - Bern),,,,,,,,,,,,,
